"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Plaice","one_way","rfb_rule","0.794326101578286","0.324665118572294","3.24318234984994","0.108244938773454","0.721327884899511","0.997777777777778"
"Plaice","one_way","type2_rule","1.08467978436642","0.30102234697459","3.3155316456429","0.126322411001893","0.266792518965645","0.961111111111111"
"Plaice","one_way","rfb_Cave","0.306458949159045","0.430821143308972","2.47155098959052","0.213142096942334","0.359113250800605","0.95962962962963"
"Plaice","one_way","type2_f","1.12568576262001","0.290841032974188","3.22541414725284","0.234732457568333","0.281660692472344","0.976481481481482"
"Plaice","one_way","chr_rule","1.3688788632418","0.230038325019368","3.07853219040861","0.429814210893416","0.599534610778102","1"
"Plaice","roller_coaster","rfb_rule","1.59101463381377","0.382355798416773","3.02042354749041","0.339785895660276","0.411390295335496","1"
"Plaice","roller_coaster","type2_rule","1.92606820385443","0.260919616705379","3.47134584220757","0.190232700185034","0.197494781005362","1"
"Plaice","roller_coaster","rfb_Cave","1.51103835807499","0.412419927110663","2.87799361438253","0.410622230240495","0.191954242583792","0.995"
"Plaice","roller_coaster","type2_f","1.91047775149078","0.271452441954546","3.089442327604","0.421321898946167","0.218841673060952","0.997962962962963"
"Plaice","roller_coaster","chr_rule","1.87002436965558","0.290016153131318","2.74157978376979","0.587597887046649","0.3403582615178","1"
"Plaice","confusion","rfb_rule","1.60860059455164","0.587273062711684","2.9362484762209","0.333004396842343","0.481016796698336","0.993703703703704"
"Plaice","confusion","type2_rule","1.76673615597481","0.497930251752275","3.19166253154311","0.24136458510406","0.262371580871214","0.992962962962963"
"Plaice","confusion","rfb_Cave","1.31157952935037","0.680236047115946","2.35091192701396","0.509770803246785","0.22199476736975","0.968333333333333"
"Plaice","confusion","type2_f","1.6832373230393","0.555837534561739","2.78812205865473","0.454311491369445","0.279845582364367","0.986296296296296"
"Plaice","confusion","chr_rule","1.81667507715955","0.498634497528767","2.67285529700305","0.574520911426937","0.412215587256017","0.977592592592593"
