"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Thornbackray","one_way","rfb_rule","0.502424552034955","0.710093902777406","1.40140260499906","0.0807555425053431","0.772150588485413","0.976666666666667"
"Thornbackray","one_way","type2_rule","0.673824201420976","0.532900672127412","1.63721311113079","0.107656202580223","0.360284331258976","0.998888888888889"
"Thornbackray","one_way","rfb_Cave","0.304662744152913","0.943541453174598","0.7460972160698","0.24786683114899","0.455350674843164","0.708518518518519"
"Thornbackray","one_way","type2_f","0.682225347684769","0.520428050300664","1.66787956055388","0.112049713096064","0.360205232796409","0.999259259259259"
"Thornbackray","one_way","chr_rule","0.813520177001998","0.381658065082315","1.70349305732512","0.32948707968287","0.623314632524731","1"
"Thornbackray","roller_coaster","rfb_rule","0.847141262827851","0.397995940830018","1.68992761033097","0.236216994574122","0.452890586118735","1"
"Thornbackray","roller_coaster","type2_rule","0.938727207177007","0.273284628671975","1.95153703963561","0.11510884615298","0.264179454497958","1"
"Thornbackray","roller_coaster","rfb_Cave","0.755751469872821","0.498490777945197","1.41604025568256","0.405739317173247","0.224162067311077","0.997037037037037"
"Thornbackray","roller_coaster","type2_f","0.94854174165","0.260620055486615","1.9614038692142","0.134649435636119","0.268974612764317","1"
"Thornbackray","roller_coaster","chr_rule","0.952168654216415","0.271001257175524","1.76368870764093","0.407836171501471","0.438969829753464","1"
"Thornbackray","confusion","rfb_rule","1.12517007586929","0.658903282151892","1.75882025070004","0.321757145666322","0.48624427551392","0.998703703703704"
"Thornbackray","confusion","type2_rule","1.2560329828953","0.513293719110675","1.99051430922159","0.21443344664541","0.308176112003609","1"
"Thornbackray","confusion","rfb_Cave","1.07664214668848","0.746426326789831","1.44990837998664","0.532457468161995","0.22703842539363","0.968703703703704"
"Thornbackray","confusion","type2_f","1.23460705847607","0.522939830146065","1.9188791886298","0.281530458892018","0.313500210609099","1"
"Thornbackray","confusion","chr_rule","1.22805914812444","0.549275121800151","1.66122189720561","0.599898191807639","0.442133171525668","0.998333333333333"
