"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Pollack","one_way","rfb_rule","0.613165485215551","0.421922829846701","2.52537810318282","0.110944582775656","0.739696204049169","0.995740740740741"
"Pollack","one_way","type2_rule","0.873684874646834","0.372192453394889","2.749205649236","0.123381398583978","0.303100895058453","0.992777777777778"
"Pollack","one_way","rfb_Cave","0.266042867069271","0.565517787764349","1.61528044976862","0.237387822944819","0.379852960726898","0.900925925925926"
"Pollack","one_way","type2_f","0.956107891360026","0.342473345776967","2.81262568029448","0.137104004982949","0.309037840552659","0.999074074074074"
"Pollack","one_way","chr_rule","1.0813493369148","0.274845778452178","2.55499561917121","0.405812512158836","0.596129421761024","1"
"Pollack","roller_coaster","rfb_rule","1.24339963902276","0.375286756158064","2.65855674018718","0.263571627999746","0.438548728917566","1"
"Pollack","roller_coaster","type2_rule","1.46812969838274","0.26162950644271","3.00470046119658","0.167761015805562","0.221963187103767","1"
"Pollack","roller_coaster","rfb_Cave","1.16782466256601","0.427908412247709","2.42595986251679","0.37820353384818","0.201643034336081","0.997037037037037"
"Pollack","roller_coaster","type2_f","1.50213176647267","0.24566483368215","3.00238664690243","0.190533106390073","0.227289579561673","1"
"Pollack","roller_coaster","chr_rule","1.442004258757","0.281417117638252","2.50154159963242","0.524690680656464","0.359066094961717","1"
"Pollack","confusion","rfb_rule","1.39341031149852","0.59427648330708","2.55171764738212","0.307919370225162","0.472210306723669","0.997037037037037"
"Pollack","confusion","type2_rule","1.58921203467434","0.504123313557944","2.80605236483931","0.233232014505232","0.280444329370952","1"
"Pollack","confusion","rfb_Cave","1.21480658296525","0.689993310768963","2.01246933547566","0.505030007810021","0.223395474197011","0.968518518518519"
"Pollack","confusion","type2_f","1.60606120092584","0.504771568280142","2.74068237135993","0.28533978476487","0.286380211614637","1"
"Pollack","confusion","chr_rule","1.60456887249223","0.495003801636636","2.31261386521623","0.583798298608738","0.435439729914561","0.996481481481482"
