"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Plaice","one_way","rfb_rule","1.35221816137868","0.30362988905019","2.99483900275457","0.482224704812644","0.378830391087001","1"
"Plaice","one_way","type2_rule","1.95840320200734","0.166702814182512","3.62646338733487","0.188198327955636","0.235721722576961","1"
"Plaice","one_way","rfb_Cave","0.804892575658191","0.471341224808541","2.37362634426254","0.593966235122054","0.170619698175998","1"
"Plaice","one_way","type2_f","1.97032318414892","0.164384084096127","3.31660119509734","0.43476897118829","0.26628223846469","1"
"Plaice","one_way","chr_rule","1.90522450309291","0.180415399563926","2.86655169142992","0.631016111998402","0.32023031583678","1"
"Plaice","roller_coaster","rfb_rule","1.3569544689775","0.583871422158742","1.84007280359508","0.82849874505057","0.212999932971844","1"
"Plaice","roller_coaster","type2_rule","2.02587888574749","0.332125096783739","3.13473916352543","0.413693317108683","0.0871731907652632","1"
"Plaice","roller_coaster","rfb_Cave","1.44820234663297","0.549460800124337","2.23486825710669","0.729896993189125","0.11782547692547","1"
"Plaice","roller_coaster","type2_f","1.9928063279885","0.345136774812978","2.40662518777761","0.88646533832164","0.123424341910313","1"
"Plaice","roller_coaster","chr_rule","2.10140016231837","0.307792921076094","2.63695200694586","0.649824482152456","0.182746352578605","1"
"Plaice","confusion","rfb_rule","1.57469507239383","0.680125976879199","2.08881944984481","0.765649303680329","0.245298311684656","1"
"Plaice","confusion","type2_rule","1.82870042826249","0.579571719921019","2.71781130451442","0.517228913978538","0.163310359330631","0.998518518518518"
"Plaice","confusion","rfb_Cave","1.31273500223075","0.751909825083104","1.92762112710581","0.780512340990606","0.145364240127067","0.999074074074074"
"Plaice","confusion","type2_f","1.67969606424537","0.631449194415893","2.07526178130677","0.815611291401596","0.216096511263855","0.990925925925926"
"Plaice","confusion","chr_rule","2.16928295591837","0.46262780974705","2.51060065104116","0.624756243699844","0.216041202550739","0.931481481481481"
