"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Anchovy","one_way","rfb_rule","0.523882867633334","0.0777449461773993","3.1326436014518","0.0282571670576901","0.615582022403987","0.999814814814815"
"Anchovy","one_way","type2_rule","0.880399572461385","0.0631129936410513","3.20934733654989","0.034280387065473","0.189575833215926","0.964814814814815"
"Anchovy","one_way","rfb_Cave","0.152301491485496","0.126212452033037","2.6362119533076","0.0707273875923353","0.259616025106539","0.993703703703704"
"Anchovy","one_way","type2_f","0.886418374856641","0.0628086322158276","3.13386892821159","0.054568703196637","0.202606993235942","0.974259259259259"
"Anchovy","one_way","chr_rule","0.935700451730452","0.0569667758570742","2.99684452155033","0.228839655289207","0.497275340313842","1"
"Anchovy","roller_coaster","rfb_rule","0.881450396547211","0.104113329904728","2.89043598521614","0.198208649467342","0.28130587404316","0.999259259259259"
"Anchovy","roller_coaster","type2_rule","1.24071786401508","0.0385993841447579","3.31909341251853","0.0427029948587782","0.087958867439789","1"
"Anchovy","roller_coaster","rfb_Cave","0.858356839707494","0.101086669607477","3.02726428381352","0.141354854558381","0.117738727168518","0.998518518518518"
"Anchovy","roller_coaster","type2_f","1.22242299663927","0.0405187814285979","3.25093470023697","0.0694299044294593","0.108578570429093","0.999259259259259"
"Anchovy","roller_coaster","chr_rule","1.17649224576777","0.0574323944055672","2.89332521946056","0.318544323279754","0.253608366613067","1"
"Anchovy","confusion","rfb_rule","1.59314086354125","0.481738566185378","2.78035707687819","0.262489343569324","0.320898672011513","0.994259259259259"
"Anchovy","confusion","type2_rule","1.75812755675876","0.459806169639515","2.82529995521451","0.254080685927004","0.189108054787005","0.989074074074074"
"Anchovy","confusion","rfb_Cave","1.3494969607706","0.56494873788438","2.40611273337954","0.400150700865299","0.167367074249367","0.976296296296296"
"Anchovy","confusion","type2_f","1.73422123975396","0.47431965964539","2.71621211726","0.302928176085451","0.207099782433381","0.966111111111111"
"Anchovy","confusion","chr_rule","1.7946950332853","0.426469878023061","2.23854091341177","0.561543277087805","0.237689809042846","0.996666666666667"
