"fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","Btarget","Blimit","delta1","delta2","delta3","scenario"
"10.1834025567652","1.3746106031906","0.165964841076665","3.01448664727083","0.183402556765176","0.270952968089781","1","0.8","0.7","0.5","0.4","0.4","one_way"
"10.1834025567652","1.3746106031906","0.165964841076665","3.01448664727083","0.183402556765176","0.270952968089781","1","0.8","0.7","0.5","0.4","0.4","one_way"
"0.0205191157564928","0.0424606268042499","0.663339209979714","0.002183051625157","0.0205191157564928","0.278743937856571","0.168","0.2655086631421","0.380035179434344","0.79423986072652","0.0706790471449494","0.34668348915875","one_way"
"0.0194762633520138","0.040561590473289","0.667958503654518","0.00207141776269226","0.0194762633520138","0.28427540005832","0.155","0.37212389963679","0.777445221319795","0.107943625887856","0.0994661601725966","0.333774930797517","one_way"
"10.536393657188","1.14707999772468","0.278645324541411","2.47302201374735","0.536393657188032","0.239862813415474","0.9992","0.572853363351896","0.934705231105909","0.723710946040228","0.31627170718275","0.476351245073602","one_way"
"10.2450035392114","1.0120095929862","0.344482307079325","2.70538515571538","0.245003539211413","0.168530184118025","1","0.908207789994776","0.212142521282658","0.411274429643527","0.518634263193235","0.892198335845023","one_way"
"0.0262926142481404","0.0609179055696548","0.671859850552501","0.00282918939905297","0.0262926142481404","0.27498143409945","0.1726","0.201681931037456","0.651673766085878","0.820946294115856","0.662005076417699","0.864339470630512","one_way"
"10.217851114018","0.934585060307228","0.382815841265273","2.67629688601991","0.217851114018002","0.145416520692003","0.998","0.898389684967697","0.125555095961317","0.647060193819925","0.406830187188461","0.389989543473348","one_way"
"10.1018317492368","1.42907059732511","0.140663661126776","3.1275058112544","0.10183174923679","0.299138165126455","1","0.944675268605351","0.267220668727532","0.78293276228942","0.912875924259424","0.777320698834956","one_way"
"10.4175834267849","0.866801597550388","0.406383490701106","2.35379342794319","0.417583426784861","0.156550337527011","0.9994","0.660797792486846","0.386114092543721","0.553036311641335","0.293603372760117","0.960617997217923","one_way"
"5.31694515246776","0.297112280205441","0.594741174059463","1.49012851248268","0.316945152467764","0.112640278805927","0.6954","0.62911404389888","0.0133903331588954","0.529719580197707","0.459065726259723","0.434659484773874","one_way"
"0.0110360115090709","0.0222639403710665","0.649047104676136","0.00117353881161462","0.0110360115090709","0.324429920787481","0","0.0617862704675645","0.382387957070023","0.789356231689453","0.332394674187526","0.712514678714797","one_way"
"0.0231299963204321","0.0487884705514299","0.667362090905887","0.0024037620960451","0.0231299963204321","0.281459132092149","0.2076","0.205974574899301","0.86969084572047","0.023331202333793","0.65087046707049","0.399994368897751","one_way"
"0.0132354848379282","0.0265495527823157","0.666874078161695","0.0013973451470151","0.0132354848379282","0.309703388495444","0.0322","0.176556752528995","0.34034899668768","0.477230065036565","0.258016780717298","0.325352151878178","one_way"
"10.3650987131313","1.20823974616265","0.24987715300337","2.70107032273561","0.365098713131334","0.236790338867319","1","0.687022846657783","0.482080115471035","0.7323137386702","0.478545248275623","0.757087148027495","one_way"
"10.8693146383496","0.714763831104034","0.469417736963758","1.63112468949964","0.869314638349555","0.192986831245654","0.9506","0.384103718213737","0.599565825425088","0.692731556482613","0.766310670645908","0.202692255144939","one_way"
"10.3239528277548","0.753977914763324","0.451948435953133","2.37150340235756","0.323952827754828","0.125750847741475","0.9916","0.769841419998556","0.493541307048872","0.477619622135535","0.0842469143681228","0.711121222469956","one_way"
"5.71421621574717","0.619649602962401","0.508506581189861","1.71456159987091","0.714216215747167","0.168956509690122","0.943","0.497699242085218","0.186217601411045","0.8612094768323","0.875321330036968","0.121691921027377","one_way"
"10.2612326691902","1.27273194454649","0.218521640513238","2.85864045575012","0.261232669190225","0.239127412058573","1","0.717618508264422","0.827373318606988","0.438097107224166","0.339072937844321","0.245488513959572","one_way"
"10.0496728495724","1.62293278258849","0.0472694232826178","3.28334414343283","0.0496728495724396","0.410027597230588","1","0.991906094830483","0.668466738192365","0.244797277031466","0.839440350187942","0.14330437942408","one_way"
"0.012116580437642","0.0248055623186573","0.654711981897076","0.00128801105296697","0.012116580437642","0.314728929342795","0.0332","0.1","0.1","0.1","0.1","0.1","one_way"
"0.0129502825603478","0.0260006745093173","0.66005005514883","0.00135845094622085","0.0129502825603478","0.310148686728315","0.041","0.2","0.2","0.2","0.2","0.2","one_way"
"0.0159297640774514","0.0334261056465257","0.675682208530216","0.00164902885343432","0.0159297640774514","0.295447790712094","0.1094","0.3","0.3","0.3","0.3","0.3","one_way"
"5.41733248706908","0.261799004426162","0.630506849443912","1.05403325360564","0.417332487069076","0.140854550072443","0.6344","0.4","0.4","0.4","0.4","0.4","one_way"
"10.5687400163455","0.762718215952156","0.451796762460666","2.03498563690193","0.568740016345454","0.162943538103692","0.989","0.5","0.5","0.5","0.5","0.5","one_way"
"10.4486973482603","1.17039238052649","0.267312165556189","2.5831262808041","0.448697348260267","0.241804094122165","0.9998","0.6","0.6","0.6","0.6","0.6","one_way"
"10.2260147063248","1.4344505193903","0.1314756793709","2.9930740383695","0.226014706324767","0.329822199679337","1","0.7","0.7","0.7","0.7","0.7","one_way"
"10.082359928289","1.60714285993426","0.0560377416839926","3.22404918970756","0.0823599282889676","0.416349019214162","1","0.8","0.8","0.8","0.8","0.8","one_way"
"10.0220387958884","1.69546637791884","0.0201017377226989","3.35884161417516","0.0220387958884133","0.486882046005773","1","0.9","0.9","0.9","0.9","0.9","one_way"
"10.0037206710785","1.74395764366949","0.00677430629436811","3.4173253353184","0.00372067107847865","0.528269703431249","1","1","1","1","1","1","one_way"
"10.714355170181","0.665516386474941","0.491991783385623","1.73962534098992","0.714355170181002","0.172138404943695","0.9558","0.394409432044729","0.566735605648258","0.533092761525","0.742126922225217","0.489993319253895","one_way"
"10.2094942120473","1.327856907924","0.191142360298321","2.954848444565","0.209494212047312","0.255275103503376","1","0.795634263115545","0.544557405770444","0.52341003268157","0.474641937330482","0.443499557472575","one_way"
"10.2584409000393","1.33892021587175","0.182502541511316","2.89693470466325","0.258440900039252","0.27731256475164","1","0.699348965846002","0.650303382682614","0.531844580965117","0.592444565379992","0.526819873647764","one_way"
"10.8693146383496","0.714763831104034","0.469417736963758","1.63112468949964","0.869314638349555","0.192986831245654","0.9506","0.384103718213737","0.599565825425088","0.692731556482613","0.766310670645908","0.202692255144939","one_way"
"10.5687400163455","0.762718215952156","0.451796762460666","2.03498563690193","0.568740016345454","0.162943538103692","0.989","0.5","0.5","0.5","0.5","0.5","one_way"
"10.1079366066646","1.48283638683896","0.108043406332012","3.15473080699181","0.107936606664574","0.323622332146837","1","0.952014658049098","0.57578595697326","0.252775427989171","0.595614576696241","0.461627499389575","one_way"
"10.2925568964141","0.685345726080054","0.474003790149349","2.34646756070602","0.292556896414126","0.122914024570924","0.9776","0.798078499530042","0.0965717426230432","0.59613047383156","0.407833814376147","0.408893293736537","one_way"
