"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Thornbackray","one_way","rfb_rule","0.693317713867809","0.500296325948416","1.60588725630188","0.248579471109462","0.384898474165604","0.999814814814815"
"Thornbackray","one_way","type2_rule","0.997815607569352","0.168058202248043","2.06492167292756","0.0791077961910792","0.349164856484258","1"
"Thornbackray","one_way","rfb_Cave","0.499598778958425","0.740770424125614","1.14282162945148","0.384886788642791","0.224001739814208","0.995555555555556"
"Thornbackray","one_way","type2_f","1.00105285699385","0.161702689642783","2.06797734734336","0.0930594298110596","0.356263689241467","1"
"Thornbackray","one_way","chr_rule","0.957520413186238","0.217672347831168","1.71329708184909","0.500180992370075","0.287853943021672","1"
"Thornbackray","roller_coaster","rfb_rule","0.817970146816824","0.441309841471168","1.41759552283066","0.531548892638977","0.234621577330506","1"
"Thornbackray","roller_coaster","type2_rule","0.966365169641256","0.235010211077199","1.9357173266407","0.18195657855817","0.138924030374375","1"
"Thornbackray","roller_coaster","rfb_Cave","0.742945808223619","0.527787594060912","1.27362879699276","0.565348648475645","0.139754719468255","1"
"Thornbackray","roller_coaster","type2_f","0.975117632423911","0.225570714259652","1.9323087733264","0.212921878817725","0.150333266901037","1"
"Thornbackray","roller_coaster","chr_rule","0.986674350923775","0.232798950830794","1.70498961460189","0.507761090200145","0.21444609640457","1"
"Thornbackray","confusion","rfb_rule","1.11352994605213","0.686525937562729","1.53729076041838","0.606705786700682","0.251567853085582","1"
"Thornbackray","confusion","type2_rule","1.25079619689306","0.550141146448832","1.85040513719838","0.424844752176182","0.212832015590337","0.998888888888889"
"Thornbackray","confusion","rfb_Cave","1.07332509786855","0.751475512999703","1.34658610806164","0.685433212524395","0.150016295184694","0.996111111111111"
"Thornbackray","confusion","type2_f","1.23160297394787","0.570005268833603","1.75930756955211","0.524672270998599","0.226769972925969","1"
"Thornbackray","confusion","chr_rule","1.2568999708475","0.482671851844623","1.62195761421664","0.696685221100633","0.210668569154262","1"
