"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","Btarget","Blimit","delta1","delta2","delta3","scenario"
origin,10.0848921595436,1.00176440789154,0.176417011043277,2.06046890589341,0.0848921595436127,0.348350866538421,1,0.8,0.7,0.5,0.4,0.4,one_way
origin,10.1852680013961,0.975253008660478,0.244014567294506,1.93853993716227,0.185268001396064,0.138234188834642,1,0.8,0.7,0.5,0.4,0.4,roller_coaster
origin,10.5255675525311,0.613431601921315,0.520779649811098,1.15962438129066,0.525567552531119,0.18838703204933,0.9928,0.8,0.7,0.5,0.4,0.4,05_05
origin,10.2957001097699,0.879553641166504,0.349136758917709,1.7249795220608,0.29570010976992,0.247399783972682,1,0.8,0.7,0.5,0.4,0.4,10_05
origin,10.1966172818869,0.985161996682116,0.314555321817511,1.91775555245773,0.196617281886867,0.228095755698991,1,0.8,0.7,0.5,0.4,0.4,15_05
origin,10.7290447356782,0.973818791845878,0.739646920647879,1.27266618863812,0.729044735678163,0.108246133407637,1,0.8,0.7,0.5,0.4,0.4,05_10
origin,10.4541636636646,1.25656421972883,0.627571402037684,1.79957252677023,0.454163663664593,0.25446945582034,1,0.8,0.7,0.5,0.4,0.4,10_10
origin,10.2557700783222,1.48259294891264,0.447292675541225,2.20046314496604,0.255770078322208,0.334048978766624,1,0.8,0.7,0.5,0.4,0.4,15_10
origin,10.6671445319596,1.43452797713949,0.611258768065541,1.75216011534847,0.667144531959611,0.0780704391111558,1,0.8,0.7,0.5,0.4,0.4,05_15
origin,10.5112043538745,1.66909490321413,0.668774739867004,2.01961298686834,0.511204353874451,0.17959154478717,1,0.8,0.7,0.5,0.4,0.4,10_15
origin,10.2880005225314,1.89338272969675,0.55215250235492,2.37939974559295,0.288000522531439,0.327063067784047,1,0.8,0.7,0.5,0.4,0.4,15_15
optimized,10.5537330746062,0.623413619586395,0.636931997744514,1.18327083023152,0.553733074606184,0.213460306917488,0.9924,0.384103718213737,0.599565825425088,0.692731556482613,0.766310670645908,0.202692255144939,one_way
optimized,10.9307060052957,0.773429903392382,0.496512210470986,1.09580810316332,0.93070600529568,0.120370001511791,0.9894,0.384103718213737,0.599565825425088,0.692731556482613,0.766310670645908,0.202692255144939,roller_coaster
optimized,10.6678377594021,0.620363628580191,0.498160462982434,1.06440522257455,0.66783775940208,0.275117020144625,0.9664,0.758741352386239,0.664903683266641,0.946606657938939,0.54908259254119,0.486291185658181,05_05
optimized,10.9465895566648,0.71981173349956,0.538737549246022,1.05824939370389,0.946589556664769,0.285190872332747,0.9704,0.52749391016292,0.552894531574326,0.964041504182532,0.457985118214465,0.639711726926141,10_05
optimized,10.6498554805329,0.679222859148065,0.691753329774399,1.14243724891558,0.649855480532893,0.148640801557376,0.9974,0.497699242085218,0.186217601411045,0.8612094768323,0.875321330036968,0.121691921027377,15_05
optimized,10.9253813054459,0.913078873397759,0.817393869711556,1.00655811377786,0.925381305445882,0.0650581446126401,0.9962,0.642061815576905,0.659562051983283,0.281884633031484,0.165724506381216,0.681672883335839,05_10
optimized,10.8786442988997,1.00021470926339,0.963469686437369,1.05828080006101,0.878644298899667,0.0457679912352636,0.9892,0.205974574899301,0.86969084572047,0.023331202333793,0.65087046707049,0.399994368897751,10_10
optimized,10.9487134817902,1.03342521058115,1.05703198571812,1.00716857290251,0.948713481790225,0.0574920480188739,0.9832,0.247154153556613,0.712734132892396,0.0524905538285818,0.328797907905584,0.457245151936661,15_10
optimized,11.3378829606232,1.29853056391468,0.791571557075541,1.01132255066345,1.33788296062318,0.0822198132654579,0.9964,0.471549608978755,0.543028232099615,0.425206355491746,0.21831793323889,0.487709748773608,05_15
optimized,11.29889490086,1.47261926352091,0.924068438288993,1.13061815267604,1.29889490086003,0.0554259141587533,0.9948,0.2,0.2,0.2,0.2,0.2,10_15
optimized,11.3150662493366,1.51533628136439,1.06968883699327,1.0105234131992,1.31506624933664,0.0855042945984969,0.9616,0.190485051475838,0.142342600800505,0.331983399461181,0.225239248510263,0.60600089658947,15_15
