"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","Btarget","Blimit","delta1","delta2","delta3","scenario"
origin,10.3493011897701,2.55969845440843,0.229881884077875,3.79308326759512,0.349301189770131,0.233857934823086,0.9944,0.8,0.7,0.5,0.4,0.4,one_way
origin,10.5016494844458,2.83114432831409,0.323981641673339,3.21717814460221,0.50164948444578,0.144122803409349,0.9738,0.8,0.7,0.5,0.4,0.4,roller_coaster
origin,5.50020951755639,1.47933878350175,0.353957559291257,2.84357419734007,0.500209517556394,0.172445174018667,0.8686,0.8,0.7,0.5,0.4,0.4,05_05
origin,10.5006006674081,2.22497370491944,0.297464635470664,3.26462347017187,0.50060066740806,0.179755818717755,0.968,0.8,0.7,0.5,0.4,0.4,10_05
origin,10.4577883895649,2.31468867862405,0.280279090017173,3.47581491155974,0.457788389564932,0.166333295077191,0.9816,0.8,0.7,0.5,0.4,0.4,15_05
origin,5.47792708229808,1.46504776928943,0.733709951716,2.66322104148273,0.477927082298076,0.16817936338151,0.9072,0.8,0.7,0.5,0.4,0.4,05_10
origin,10.3921976773483,2.20766951975078,0.585774276896668,3.35628575268576,0.392197677348301,0.223609817604758,0.9886,0.8,0.7,0.5,0.4,0.4,10_10
origin,10.3189422331095,2.69983479658283,0.491018686349065,3.7083904299588,0.318942233109465,0.237458091672486,0.9978,0.8,0.7,0.5,0.4,0.4,15_10
origin,10.4134823454577,2.68848916750744,0.608561869375775,3.41155213440458,0.413482345457734,0.147012901403989,0.9968,0.8,0.7,0.5,0.4,0.4,05_15
origin,10.2690745910906,3.07554370150533,0.52324414935004,3.92876152792918,0.269074591090578,0.225568439241646,0.9998,0.8,0.7,0.5,0.4,0.4,10_15
origin,10.1687415613893,3.4494867247505,0.420795571036646,4.29538906045262,0.168741561389313,0.311621581890727,1,0.8,0.7,0.5,0.4,0.4,15_15
optimized,10.5091975681062,2.12307690007573,0.285849280305222,3.27978888891192,0.509197568106249,0.221735213112364,0.9622,0.68356923783934,0.640636476113878,0.640301418374326,0.432541506871958,0.578438934483972,one_way
optimized,10.5733732310153,2.8202612344488,0.324773628450925,2.88519137898944,0.573373231015349,0.194624712242099,0.9512,0.713084168126807,0.749725017743185,0.701636488526128,0.767561397259124,0.751862505148165,roller_coaster
optimized,10.4881351311282,1.98167271242135,0.315504186123498,3.22408732858895,0.488135131128176,0.229211676661076,0.95,0.843830244174415,0.577510603936389,0.818373758574271,0.803257972861981,0.704901503861149,05_05
optimized,10.5730740373234,2.44915986532637,0.268406277763426,3.00553199378002,0.573074037323422,0.242648881137095,0.95,0.737597760799638,0.66437544358653,0.780127269200417,0.72446068826292,0.786805184174562,10_05
optimized,10.5924137384693,2.30547019638652,0.285460078079002,2.98899195905812,0.59241373846931,0.195831031463727,0.9518,0.706536963558658,0.565990991723928,0.76154603311329,0.70754788353688,0.743692079878545,15_05
optimized,10.4801796498491,1.49361456186101,0.717313854823633,2.84233179014505,0.480179649849065,0.253865228469498,0.9638,0.762203073553667,0.714702505669242,0.910711617801239,0.763841462049347,0.971223800908943,05_10
optimized,10.4681042334449,1.92015736841556,0.650355576765757,3.01121374326625,0.468104233444943,0.202752743579237,0.9538,0.737713230117107,0.569439508476173,0.448912535164723,0.494593045761129,0.503665116138246,10_10
optimized,10.5103071223633,2.24129959297627,0.585037106143324,2.98794137736754,0.510307122363349,0.266419001955253,0.9712,0.629431822465293,0.638117054570256,0.770459529845614,0.540938001874716,0.732946630380222,15_10
optimized,10.5815945611785,2.01868646365214,0.774831841350372,2.494067687438,0.581594561178511,0.219128271450941,0.9598,0.595471581428151,0.818061034255289,0.789959282215575,0.749069456151112,0.634426610935825,05_15
optimized,10.5958183129486,2.32239560849745,0.687005796529577,2.67216635199007,0.595818312948621,0.144509497601661,0.951,0.578251694753842,0.420471991056975,0.496382519267366,0.324855732492455,0.313555576296456,10_15
optimized,10.5690810475088,2.49572228259354,0.654387447537998,2.76409109051506,0.569081047508801,0.144387344555328,0.9542,0.525425123356959,0.307294420380184,0.496163375680563,0.266350639707272,0.565265932602372,15_15
