"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
origin,10.3265283520645,0.911754253473553,0.356299861555719,2.52166194542053,0.326528352064468,0.383820800990621,1,0.95,0.4,0.75,one_way
origin,10.5647251084591,1.12035719258325,0.470081376444594,2.09032737671229,0.564725108459088,0.245709771264035,0.9998,0.95,0.4,0.75,roller_coaster
origin,10.5413802490654,0.707376534524101,0.491070963243651,1.92495329662114,0.541380249065418,0.274525428474798,0.997,0.95,0.4,0.75,05_05
origin,10.5050018781987,0.835764242027656,0.467865541174586,2.09959025642258,0.505001878198704,0.307145766413963,0.9996,0.95,0.4,0.75,10_05
origin,10.4950490634769,0.872483172563034,0.464680133792594,2.15588595394717,0.495049063476932,0.309295772106623,1,0.95,0.4,0.75,15_05
origin,10.6379895892234,1.19337192974609,0.774326227193111,1.89222082482563,0.637989589223446,0.232378624445747,1,0.95,0.4,0.75,05_10
origin,10.5749531304446,1.37607117185774,0.744655174143655,2.138567839654,0.574953130444596,0.259053551541484,1,0.95,0.4,0.75,10_10
origin,10.5223964281114,1.47659586323073,0.704210603409229,2.30127326508589,0.522396428111388,0.270594210765014,1,0.95,0.4,0.75,15_10
origin,10.6149949472375,1.94695988752421,0.708812003401947,2.24306112630396,0.614994947237533,0.214809516196205,1,0.95,0.4,0.75,05_15
origin,10.5787848305383,2.00241101174693,0.729881873188917,2.35108983864464,0.578784830538274,0.22714315951279,1,0.95,0.4,0.75,10_15
origin,10.4735287091535,2.12013052748605,0.678909134913122,2.59729575642447,0.473528709153527,0.255403461863318,1,0.95,0.4,0.75,15_15
optimized,10.5740692626339,0.852348095299542,0.369448918344955,2.16011918244682,0.57406926263391,0.408034215587069,0.9574,0.989109541840042,0.739047963371896,0.994364152535858,one_way
optimized,10.7200832552394,1.07462715105358,0.495270941294826,1.79228632159026,0.720083255239425,0.24638095381809,0.989,0.918338458674938,0.596298297007905,0.881811817566002,roller_coaster
optimized,10.6371276877408,0.676305466496385,0.494727123187029,1.71148846870092,0.637127687740758,0.309010138209241,0.9708,0.918338458674938,0.596298297007905,0.881811817566002,05_05
optimized,10.5681992638488,0.742737933575597,0.513460410525365,1.91218350111796,0.568199263848775,0.281189119342789,0.9942,0.944675268605351,0.267220668727532,0.78293276228942,10_05
optimized,10.5600147001113,0.77555583851604,0.511683741071541,1.97187473792467,0.560014700111289,0.286808913761857,0.9956,0.944675268605351,0.267220668727532,0.78293276228942,15_05
optimized,10.7872667707387,1.08814818025182,0.848336845023219,1.49265120689394,0.787266770738709,0.231559483845152,0.9916,0.918127593418777,0.731364147333702,0.883999822573731,05_10
optimized,10.8596653172613,0.978503784236583,0.953656006331064,1.20813671915817,0.859665317261272,0.237335182528159,0.9734,0.94724937851267,0.129306000424549,0.905744094763295,10_10
optimized,10.8307876227354,0.976407577151516,0.979005538318535,1.20813667390709,0.830787622735444,0.254894327588885,0.9704,0.939489957401246,0.0715024236124009,0.937219589253334,15_10
optimized,11.0227251306068,1.67208711579911,0.872038044210734,1.26368598381212,1.02272513060681,0.205546978673702,0.9746,0.970006826100871,0.644461471489515,0.882771995551217,05_15
optimized,11.0088418999805,1.63283406616354,0.943861415330729,1.16735218627625,1.00884189998047,0.218726405501974,0.9712,0.926466865573512,0.10212059924379,0.974209042885349,10_15
optimized,10.7517371927178,1.80122830116461,0.882069100126134,1.82343402623346,0.751737192717771,0.268115369901772,0.9988,0.944808672408118,0.3146694155106,0.924354929317656,15_15
