"fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","Btarget","Blimit","delta1","delta2","delta3","scenario"
"10.3676848449707","1.64890997210464","0.180083716047639","3.26243842523754","0.367684844970668","0.250022112456018","1","0.8","0.7","0.5","0.4","0.4","one_way"
"10.3676848449707","1.64890997210464","0.180083716047639","3.26243842523754","0.367684844970668","0.250022112456018","1","0.8","0.7","0.5","0.4","0.4","one_way"
"0.00120376533902972","0.0104833217476575","0.478978440615857","0.000117927283981695","0.00120376533902972","0.340678350200822","0.0598","0.2655086631421","0.380035179434344","0.79423986072652","0.0706790471449494","0.34668348915875","one_way"
"0.00119520327584159","0.0099983082839641","0.475738895659617","0.000119349929560796","0.00119520327584159","0.342803040147135","0.1124","0.37212389963679","0.777445221319795","0.107943625887856","0.0994661601725966","0.333774930797517","one_way"
"10.8747952360478","1.28960891130031","0.286934406069235","2.38220022041843","0.87479523604779","0.226539312564632","0.9654","0.572853363351896","0.934705231105909","0.723710946040228","0.31627170718275","0.476351245073602","one_way"
"10.3968034722672","1.06069261783216","0.339875257658515","2.94485526193855","0.396803472267239","0.165131689152932","0.9726","0.908207789994776","0.212142521282658","0.411274429643527","0.518634263193235","0.892198335845023","one_way"
"0.00121256513003936","0.0108606804835426","0.480672785744235","0.000120462520534291","0.00121256513003936","0.342991829940257","0.041","0.201681931037456","0.651673766085878","0.820946294115856","0.662005076417699","0.864339470630512","one_way"
"10.3552954389755","0.950663714784837","0.358185359736252","2.93554356173035","0.355295438975526","0.151388878148618","0.9516","0.898389684967697","0.125555095961317","0.647060193819925","0.406830187188461","0.389989543473348","one_way"
"10.2157866709336","1.72687459128093","0.154695811326716","3.50999510636514","0.21578667093357","0.270382708572353","1","0.944675268605351","0.267220668727532","0.78293276228942","0.912875924259424","0.777320698834956","one_way"
"5.62988279737927","0.813002601840456","0.388712267054922","2.37154955478017","0.629882797379265","0.166052021827349","0.9264","0.660797792486846","0.386114092543721","0.553036311641335","0.293603372760117","0.960617997217923","one_way"
"0.00653284151427029","0.0474812825671097","0.47559575204797","0.000663794755400223","0.00653284151427029","0.283227670815923","0.4374","0.62911404389888","0.0133903331588954","0.529719580197707","0.459065726259723","0.434659484773874","one_way"
"0.000755348521795159","0.00693279144481073","0.445150690321102","7.68820575782375e-05","0.000755348521795159","0.360641941661505","0","0.0617862704675645","0.382387957070023","0.789356231689453","0.332394674187526","0.712514678714797","one_way"
"0.00124633056577434","0.0105508063678281","0.474103511084324","0.000123621002179117","0.00124633056577434","0.344837892255675","0.1082","0.205974574899301","0.86969084572047","0.023331202333793","0.65087046707049","0.399994368897751","one_way"
"0.000914580096884839","0.00806082899686207","0.461558598780385","9.22564753382644e-05","0.000914580096884839","0.352902495797598","0.0216","0.176556752528995","0.34034899668768","0.477230065036565","0.258016780717298","0.325352151878178","one_way"
