"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","Btarget","Blimit","delta1","delta2","delta3","scenario"
origin,10.1513449733444,1.34346539260126,0.18033988017739,3.00280613339609,0.151344973344361,0.261120343723709,1,0.8,0.7,0.5,0.4,0.4,one_way
origin,10.2971891605144,1.46499123060883,0.267314379058602,2.84608845513906,0.297189160514441,0.106320715613232,1,0.8,0.7,0.5,0.4,0.4,roller_coaster
origin,10.5136028942544,0.768677532439417,0.467814210189119,1.96235063953797,0.513602894254435,0.149454574792145,0.9782,0.8,0.7,0.5,0.4,0.4,05_05
origin,10.3464405561522,1.13502638297213,0.325022072641038,2.58595056629477,0.346440556152241,0.177668120598007,1,0.8,0.7,0.5,0.4,0.4,10_05
origin,10.2703400965874,1.20707363289103,0.304504170225857,2.74892232640604,0.270340096587362,0.153414514765478,1,0.8,0.7,0.5,0.4,0.4,15_05
origin,10.7036042668702,1.1359298262623,0.822572128591173,1.66273743689026,0.703604266870229,0.117610588599965,0.9982,0.8,0.7,0.5,0.4,0.4,05_10
origin,10.4735302973187,1.53309468393604,0.639373426435737,2.35366077684171,0.473530297318672,0.213604007477779,1,0.8,0.7,0.5,0.4,0.4,10_10
origin,10.3309349020804,1.81027070789649,0.464694856112087,2.80210891978842,0.330934902080424,0.256813292066085,1,0.8,0.7,0.5,0.4,0.4,15_10
origin,10.6234837823245,1.92886033150958,0.706966788845504,2.21886694916279,0.623483782324539,0.0957524941118661,1,0.8,0.7,0.5,0.4,0.4,05_15
origin,10.4414689445682,2.09829837768312,0.666354462942096,2.59022643595702,0.441468944568151,0.183824644560642,1,0.8,0.7,0.5,0.4,0.4,10_15
origin,10.2559497543931,2.3614337431023,0.512391126057152,2.99244134725832,0.255949754393092,0.297106050677369,1,0.8,0.7,0.5,0.4,0.4,15_15
optimized,10.6786683857872,0.857963439645605,0.412083735971518,1.99233837883708,0.678668385787234,0.212356330451701,0.987,0.48998980014585,0.457090827976154,0.755376241145869,0.78100863069073,0.421205825973859,one_way
optimized,10.9631048177484,1.17609030447848,0.415331369722153,1.67054146990958,0.963104817748362,0.111102671998356,0.9558,0.499527992802148,0.542096081689508,0.663633560017803,0.467506729395709,0.511832931403155,roller_coaster
optimized,10.5765945185819,0.723246228489266,0.489002418974815,1.81509400256868,0.576594518581884,0.140350778815803,0.9682,0.79932682889662,0.499599005102729,0.664509903767847,0.279763023403532,0.537971137244055,05_05
optimized,10.8283080302299,0.90247230661973,0.432290359737776,1.67877899820145,0.828308030229933,0.19966901101491,0.9596,0.572853363351896,0.934705231105909,0.723710946040228,0.31627170718275,0.476351245073602,10_05
optimized,10.9628169332933,0.898786506255057,0.448085981596183,1.58476968474945,0.962816933293336,0.190471806296586,0.9552,0.527800962137214,0.631112983330366,0.982425559079275,0.450045395733976,0.257622156309804,15_05
optimized,10.7949264376348,1.01711840794208,0.884675307047376,1.31926757468533,0.79492643763477,0.119137569530822,0.9548,0.746035142982339,0.534495056708378,0.608597074383824,0.122751253303814,0.441431511210322,05_10
optimized,10.8017581020334,1.14854486590764,0.852741072137891,1.51253979038611,0.8017581020334,0.240913307063701,0.9624,0.575268118941078,0.577510603936389,0.709426629076245,0.322029225494094,0.627045592946816,10_10
optimized,10.8685579340949,1.2369840691411,0.78025358624162,1.53379118709168,0.868557934094941,0.217057468944193,0.953,0.497699242085218,0.186217601411045,0.8612094768323,0.875321330036968,0.121691921027377,15_10
optimized,10.9617420289643,1.7194116436863,0.839472414425819,1.42785140132072,0.961742028964283,0.0877213357396512,0.981,0.616106356778066,0.114746522158384,0.499668455749481,0.498988211931303,0.629930970558871,05_15
optimized,10.9379059536706,1.71350317419219,0.896243765453923,1.40413760679504,0.937905953670567,0.104446288843684,0.952,0.446509310392766,0.44920558379329,0.359172180911572,0.229626868479879,0.346558183204148,10_15
optimized,10.8827495394877,1.74379539977853,0.875714562331581,1.56861671662268,0.882749539487681,0.115955272858912,0.9566,0.385195156004645,0.209156857855156,0.406027974476704,0.29009661934377,0.333649176201815,15_15
