"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
origin,10.3928801003377,0.500177835867086,0.754974502540125,1.12041546084,0.392880100337705,0.22117073717007,0.995,0.95,0.4,0.75,one_way
origin,10.5696796962172,0.744554819594333,0.529520228312905,1.2664922205166,0.569679696217162,0.139089875983375,1,0.95,0.4,0.75,roller_coaster
origin,5.58663509875545,0.506156525574608,0.644614487582993,0.902095698763444,0.586635098755449,0.147888909016835,0.9742,0.95,0.4,0.75,05_05
origin,10.5816091201388,0.595936933254088,0.708393877158,1.02471782460463,0.581609120138837,0.171688128567411,0.994,0.95,0.4,0.75,10_05
origin,10.5710193582145,0.636094125129506,0.744643510180041,1.07891577486878,0.57101935821452,0.181467374624288,0.996,0.95,0.4,0.75,15_05
origin,10.7397861652842,0.96094251751106,0.749032093278223,1.25167662238807,0.739786165284201,0.129344370532442,1,0.95,0.4,0.75,05_10
origin,10.747962384706,1.07689582416576,0.86205764256245,1.33453758478887,0.747962384705952,0.158225290870617,1,0.95,0.4,0.75,10_10
origin,10.6739767833742,1.15544387713004,0.885010183533169,1.46488822126571,0.673976783374223,0.185354844398673,1,0.95,0.4,0.75,15_10
origin,10.6833508016424,1.42231102609943,0.612917104127134,1.7393076476329,0.683350801642438,0.123399985768531,1,0.95,0.4,0.75,05_15
origin,10.7832128872162,1.57482709041416,0.769480280372776,1.7091852084666,0.78321288721619,0.133094330759127,1,0.95,0.4,0.75,10_15
origin,10.7198148473701,1.68481300326953,0.820350799323774,1.82077346335064,0.719814847370106,0.165488544895972,1,0.95,0.4,0.75,15_15
optimized,10.4862383970887,0.51827031131149,0.732743294554426,1.09970305795809,0.486238397088725,0.250144284954516,0.9904,0.99976400225142,0.871930851419382,0.995327460845326,one_way
optimized,10.6907747439743,0.741199670029442,0.543749272337124,1.16356908415108,0.690774743974342,0.13663773362934,0.9996,0.918338458674938,0.596298297007905,0.881811817566002,roller_coaster
optimized,10.3952272360295,0.584257276630748,0.551397864790015,1.22538556380895,0.395227236029497,0.15475920678394,0.9988,0.840387337964526,0.476300953890212,0.77623846645207,05_05
optimized,10.5816091201388,0.595936933254088,0.708393877158,1.02471782460463,0.581609120138837,0.171688128567411,0.994,0.95,0.4,0.75,10_05
optimized,10.7033563133561,0.661474397531885,0.693972574603249,1.03512229110312,0.703356313356106,0.230520472861189,0.9808,1,1,1,15_05
optimized,10.9295660715285,0.910966115445765,0.809712000620912,1.00969709118754,0.929566071528482,0.118099892014747,0.9904,0.91399441215754,0.10212059924379,0.882012466669049,05_10
optimized,10.9062167487493,1.00648464003241,0.969679504731829,1.0429034603068,0.906216748749319,0.182905839515608,0.9944,0.924924750271224,0.553438289670283,0.958619853426496,10_10
optimized,10.7680316830181,1.09031523120886,0.973394760953295,1.29064853609357,0.768031683018129,0.172347627468405,1,0.944675268605351,0.267220668727532,0.78293276228942,15_10
optimized,11.4135954819697,1.30374878695715,0.778977155981091,1.01659521598967,1.4135954819697,0.0843514229679379,0.9612,1,1,1,05_15
optimized,11.3283745244326,1.44949086911582,0.938935269599437,1.07881892315217,1.32837452443256,0.108673018465747,0.993,0.971069392354639,0.211784130109331,0.930841048262793,10_15
optimized,10.8450102471051,1.64864734693702,0.875463976649294,1.66771442168505,0.845010247105111,0.149623234991618,1,0.944675268605351,0.267220668727532,0.78293276228942,15_15
