"fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
"10.53461116065","2.64640215450138","0.207266649761279","3.31025227951714","0.534611160649962","0.413606326260661","1","0.5","0.4","0.75","one_way"
"10.53461116065","2.64640215450138","0.207266649761279","3.31025227951714","0.534611160649962","0.413606326260661","1","0.5","0.4","0.75","one_way"
"10.3139388678349","2.93391986361995","0.146518813819241","4.09192591078997","0.313938867834854","0.459594314708534","1","0.2655086631421","0.380035179434344","0.79423986072652","one_way"
"0.000141100105007881","0.00334928477160903","0.283022453619197","1.30364841926124e-05","0.000141100105007881","0.452467983597494","0.298","0.37212389963679","0.777445221319795","0.107943625887856","one_way"
"10.5882873850233","2.8722679331728","0.194117060104067","3.05141785816878","0.588287385023335","0.406736979400395","1","0.572853363351896","0.934705231105909","0.723710946040228","one_way"
"10.7988037291777","1.84178502535097","0.319705040067315","2.14156816788679","0.798803729177725","0.36421330030821","0.9656","0.908207789994776","0.212142521282658","0.411274429643527","one_way"
"10.2420713758369","3.28762731309455","0.100883624128411","4.30270079654627","0.242071375836862","0.449972200522758","1","0.201681931037456","0.651673766085878","0.820946294115856","one_way"
"10.7849237369267","1.85114311719352","0.316694916266258","2.2530704021274","0.784923736926678","0.337043727257002","0.9772","0.898389684967697","0.125555095961317","0.647060193819925","one_way"
"10.8185157676392","1.89193376165484","0.316363710715567","2.074988964271","0.818515767639153","0.362667211237033","0.9638","0.944675268605351","0.267220668727532","0.78293276228942","one_way"
"10.6499078989876","2.42823892839719","0.242537760432403","2.87964428781003","0.649907898987563","0.398199117753187","0.9986","0.660797792486846","0.386114092543721","0.553036311641335","one_way"
"10.6286037127275","2.07860947143696","0.282575830613904","2.89526317646849","0.628603712727511","0.349494523635573","0.9986","0.62911404389888","0.0133903331588954","0.529719580197707","one_way"
"10.0779475567922","3.21286909169361","0.0951917859637504","4.80046983429912","0.0779475567921992","0.536026236063507","1","0.0617862704675645","0.382387957070023","0.789356231689453","one_way"
"8.06805585889231e-05","0.00240979404185453","0.313232298177806","7.45811947424232e-06","8.06805585889231e-05","0.463324554945748","0.134","0.205974574899301","0.86969084572047","0.023331202333793","one_way"
"10.2153939507636","3.03438648348027","0.129467020651087","4.38808775884596","0.215393950763623","0.493251891331545","1","0.176556752528995","0.34034899668768","0.477230065036565","one_way"
"10.6705947352261","2.44759528042262","0.242692290169309","2.81270718997478","0.670594735226092","0.384313513661861","0.9982","0.687022846657783","0.482080115471035","0.7323137386702","one_way"
"10.4239155313323","2.97964619374108","0.151081511463331","3.69105952512702","0.423915531332295","0.420967724998359","1","0.384103718213737","0.599565825425088","0.692731556482613","one_way"
"10.7289861422913","2.31782491478531","0.264409831833482","2.51102230514915","0.728986142291301","0.379050737711895","0.9916","0.769841419998556","0.493541307048872","0.477619622135535","one_way"
"10.5336150005491","2.45021162706686","0.22891046328191","3.36239839881524","0.533615000549106","0.417997080844","1","0.497699242085218","0.186217601411045","0.8612094768323","one_way"
"10.7036654646534","2.59071113332659","0.233627412862731","2.61296389485057","0.703665464653389","0.395194551256292","0.9968","0.717618508264422","0.827373318606988","0.438097107224166","one_way"
"5.73208806815231","1.75258229276968","0.316913551209454","1.73646042663128","0.732088068152307","0.427115441399607","0.7514","0.991906094830483","0.668466738192365","0.244797277031466","one_way"
"0.000129905794002527","0.00321917769236795","0.297868815563917","1.17210973098788e-05","0.000129905794002527","0.470481646369391","0.284","0.1","0.1","0.1","one_way"
"5.1275159264608","1.74471081345052","0.233906354987127","3.15715014602394","0.127515926460799","0.468719123336572","0.56","0.2","0.2","0.2","one_way"
"5.33075873082096","2.71470878064039","0.180393716157594","3.92051324351155","0.330758730820963","0.450421784540803","0.93","0.3","0.3","0.3","one_way"
"10.4468017157429","2.78207196698861","0.182634723132013","3.60055892671358","0.44680171574288","0.43601610003663","1","0.4","0.4","0.4","one_way"
"10.5378977335432","2.73811583156501","0.192798621900772","3.29700636317705","0.537897733543208","0.408805527738263","1","0.5","0.5","0.5","one_way"
"10.6072665890189","2.69739550191524","0.208481262863961","3.04280272159561","0.607266589018936","0.396877678156901","0.9996","0.6","0.6","0.6","one_way"
"10.6739864930184","2.59483100676969","0.233445557545036","2.74630718425238","0.673986493018395","0.394255811748209","0.9982","0.7","0.7","0.7","one_way"
"10.7408529964457","2.49163402892257","0.257601325961725","2.42215576202683","0.740852996445711","0.394249905307113","0.992","0.8","0.8","0.8","one_way"
"10.797888634718","2.36742509096167","0.281121392344214","2.11523593852033","0.797888634718047","0.404474884537517","0.9784","0.9","0.9","0.9","one_way"
"5.84064461271152","2.19182175280165","0.308730885936903","1.8704260827558","0.840644612711515","0.411714298191828","0.9492","1","1","1","one_way"
"10.749579696017","2.153097309207","0.283445797166713","2.43821550275735","0.749579696016992","0.373671985317209","0.9876","0.801692103176093","0.358596874855424","0.418988280506473","one_way"
"10.5631806146439","2.62788294972416","0.21115801235468","3.20839225678635","0.563180614643909","0.403932563916927","1","0.540839263284579","0.440121669601649","0.733715903782286","one_way"
"10.7799362241061","1.87941526024474","0.31437354934873","2.28625953479674","0.779936224106055","0.335628755196432","0.9794","0.863564783775065","0.128839781296884","0.801428371841366","one_way"
"10.8185157676392","1.89193376165484","0.316363710715567","2.074988964271","0.818515767639153","0.362667211237033","0.9638","0.944675268605351","0.267220668727532","0.78293276228942","one_way"
"10.7289861422913","2.31782491478531","0.264409831833482","2.51102230514915","0.728986142291301","0.379050737711895","0.9916","0.769841419998556","0.493541307048872","0.477619622135535","one_way"
