"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Pollack","one_way","rfb_rule","1.72960111704975","0.492347918917769","3.50480734002738","0.453244666817171","0.355130165196648","1"
"Pollack","one_way","type2_rule","2.30228215873208","0.339244258358847","4.06633585430365","0.327420354316968","0.2484743979126","1"
"Pollack","one_way","rfb_Cave","1.1920518704627","0.673954755341206","2.69272548960111","0.608073555132304","0.17332327016211","1"
"Pollack","one_way","type2_f","2.43033903344654","0.313478511310445","4.06298907134609","0.387768381320273","0.256942006324196","1"
"Pollack","one_way","chr_rule","2.44495782794183","0.316747833591427","3.19846333406999","0.672914261169878","0.272909074761273","1"
"Pollack","roller_coaster","rfb_rule","1.83216303972703","0.628314884352056","3.08685761405934","0.562726870204023","0.264196354345517","1"
"Pollack","roller_coaster","type2_rule","2.18612890456401","0.498996011220984","3.43762363391089","0.482480649249512","0.151367230132253","1"
"Pollack","roller_coaster","rfb_Cave","1.58840026336964","0.682659831152956","2.70688075111361","0.642489281633947","0.144605986386874","1"
"Pollack","roller_coaster","type2_f","2.34455004840995","0.44517837280218","3.48217292761078","0.525998181576116","0.158650180009032","1"
"Pollack","roller_coaster","chr_rule","2.55614444831362","0.392597321667563","3.09804394318875","0.673190920838232","0.210031216996461","1"
"Pollack","confusion","rfb_rule","1.89497960774929","0.613332883778274","3.11441964298811","0.56291909841212","0.266189415114919","1"
"Pollack","confusion","type2_rule","1.96618003799109","0.564570046125691","3.44067216044701","0.451295383096124","0.161171879117667","0.996481481481482"
"Pollack","confusion","rfb_Cave","1.54848611646267","0.695953448497951","2.66584150169531","0.642149732463938","0.147136715724693","0.996851851851852"
"Pollack","confusion","type2_f","2.0793560783362","0.555718312869447","3.36912557123632","0.538718555483912","0.17198334404383","0.997407407407407"
"Pollack","confusion","chr_rule","2.30628702972681","0.486169621457478","2.86359732330591","0.702423643281814","0.20868816914296","0.997962962962963"
